source_path	decision	target	reason	chars_read
creator\Commands\commands\schedule.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	3672
creator\Commands\commands\scoreboard.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	4818
creator\Commands\commands\script.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1147
creator\Commands\commands\scriptevent.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1248
creator\Commands\commands\sendshowstoreoffer.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1324
creator\Commands\commands\setblock.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1471
creator\Commands\commands\setmaxplayers.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	862
creator\Commands\commands\setworldspawn.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	850
creator\Commands\commands\spawnpoint.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	984
creator\Commands\commands\spreadplayers.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1419
creator\Commands\commands\stop.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	624
creator\Commands\commands\stopsound.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	948
creator\Commands\commands\structure.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	4437
creator\Commands\commands\summon.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1714
creator\Commands\commands\tag.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1102
creator\Commands\commands\teleport.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	4010
creator\Commands\commands\tell.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	949
creator\Commands\commands\tellraw.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	936
creator\Commands\commands\testfor.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	892
creator\Commands\commands\testforblock.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1078
creator\Commands\commands\testforblocks.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1500
creator\Commands\commands\tickingarea.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	2806
creator\Commands\commands\time.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1449
creator\Commands\commands\title.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	2103
creator\Commands\commands\titleraw.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	2231
creator\Commands\commands\toggledownfall.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	643
creator\Commands\commands\transfer.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	696
creator\Commands\commands\weather.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1467
creator\Commands\commands\wsserver.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	848
creator\Commands\commands\xp.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1133
creator\Commands\commands.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	16268
creator\Commands\enums\Block.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	84401
creator\Commands\enums\Boolean.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	892
creator\Commands\enums\Difficulty.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	971
creator\Commands\enums\EntityEquipmentSlot.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1098
creator\Commands\enums\EntityEvents.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	24811
creator\Commands\enums\EntityType.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	6549
creator\Commands\enums\Item.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	106852
creator\Documents\ActorStorage.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4968
creator\Documents\AddCustomDieBlock.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	16763
creator\Documents\AddCustomItems.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	29066
creator\Documents\AddCustomSounds.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	8838
creator\Documents\AddonDevelopmentWorkflow.md	新增	docs\guides\addons\addon-development-workflow.md	新增附加包开发流程教程并接入教程导航	11437
creator\Documents\AddOns\CustomPackSettings.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	6801
creator\Documents\AdvancedCustomBlocks.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	12455
creator\Documents\Animations\AnimationController.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	9018
creator\Documents\Animations\AnimationRenderController.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7678
creator\Documents\Animations\AnimationsOverview.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7996
creator\Documents\Animations\AnimationUpgrade.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2794
creator\Documents\animationsandcontrollers.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	6429
creator\Documents\AnimationsVsControllers.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	6730
creator\Documents\attachables.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	14949
creator\Documents\BaseGameVersioning.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2516
creator\Documents\BedrockEditor\EditorActionBar.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2266
creator\Documents\BedrockEditor\EditorBlockInspector.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	1949
creator\Documents\BedrockEditor\EditorBrushTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4641
creator\Documents\BedrockEditor\EditorCameraTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4032
creator\Documents\BedrockEditor\EditorChunkManagement.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2505
creator\Documents\BedrockEditor\EditorEntityInspector.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	1975
creator\Documents\BedrockEditor\EditorExtensionsIntroduction.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	3130
creator\Documents\BedrockEditor\EditorExtrudeTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2364
creator\Documents\BedrockEditor\EditorFarmTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	1929
creator\Documents\BedrockEditor\EditorFillTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2312
creator\Documents\BedrockEditor\EditorFlood.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2494
creator\Documents\BedrockEditor\EditorInstallation.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5413
creator\Documents\BedrockEditor\EditorJigsaws.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	3432
creator\Documents\BedrockEditor\EditorKeyboardInputs.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	9631
creator\Documents\BedrockEditor\EditorLineTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4053
creator\Documents\BedrockEditor\EditorOverview.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	8448
creator\Documents\BedrockEditor\EditorPastePreview.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	3058
creator\Documents\BedrockEditor\EditorPencilTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4326
creator\Documents\BedrockEditor\EditorRealms.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	3441
creator\Documents\BedrockEditor\EditorRepeaterTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4011
creator\Documents\BedrockEditor\EditorRulerTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	3230
creator\Documents\BedrockEditor\EditorScaleTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2203
creator\Documents\BedrockEditor\EditorSelectionTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	10110
creator\Documents\BedrockEditor\EditorSettings.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	1459
creator\Documents\BedrockEditor\EditorStructures.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	3079
creator\Documents\BedrockEditor\EditorSummonTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2058
creator\Documents\BedrockEditor\EditorTerrainTool.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	3882
creator\Documents\BedrockEditor\EditorToolMode.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5205
creator\Documents\BedrockEditor\EditorTutorial.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	6231
creator\Documents\BedrockEditor\EditorVibrantVisuals.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	11325
creator\Documents\BedrockEditor\EditorWorkbench.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2608
creator\Documents\BedrockEditor\EditorWorkflow.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	9992
creator\Documents\BedrockEditor\EditorWorldOptions.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	3239
creator\Documents\BedrockServer\getting-started.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	11656
creator\Documents\BedrockServer\scripting.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7579
creator\Documents\BedrockServer\server-properties.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	14285
creator\Documents\BehaviorPack.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7975
creator\Documents\BehaviorPackFromScratch.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	21078
creator\Documents\behaviorrendercontrollers.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	10260
creator\Documents\Biomes\BiomeOverview.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	10394
creator\Documents\Biomes\CustomBiomeTutorial.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	21529
creator\Documents\Biomes\CustomPartialBiomeReplacement.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5924
creator\Documents\Blockbench.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5824
creator\Documents\BuildingSubpacks.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	6273
creator\Documents\CameraSystem\AimAssistPresets.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5516
creator\Documents\CameraSystem\CameraCommandIntroduction.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	29312
creator\Documents\CameraSystem\CameraPresetFree.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	11016
creator\Documents\CameraSystem\CameraPresetThirdPerson.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	6311
creator\Documents\CameraSystem\FreeCameraScriptAPITutorial.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	15283
creator\Documents\CameraSystem\IntroToAimAssist.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	3757
creator\Documents\CavesAndCliffsEntities.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2564
creator\Documents\ChunkerAdvancedMode.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5507
creator\Documents\ChunkerOverview.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5419
creator\Documents\ChunkerTheNether.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4079
creator\Documents\ChunkerWorldSettings.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7871
creator\Documents\CommandBlocks.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	8641
creator\Documents\CommandBlockSnowballFight.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7194
creator\Documents\CommandsDamageIntroduction.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4218
creator\Documents\CommandsIntroduction.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	11092
creator\Documents\CommandsNewExecute.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	9605
creator\Documents\CommandsPopularCommands.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	12334
creator\Documents\CommonlyUsedTools.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	10225
creator\Documents\ComprehensivePackContents.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	10069
creator\Documents\ContentErrorLog.md	修改	docs\docs\general\content-log.md	补充内容日志级别与GUI/文件查看机制	3803
creator\Documents\ContributorGuide.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	13754
creator\Documents\ControlSchemes.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	9351
creator\Documents\ConvertingTexturePacks.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	8073
creator\Documents\CopyCoordinates.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	3700
creator\Documents\CraftingItemCatalogDocumentation.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	11089
creator\Documents\create-custom-potions.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	17081
creator\Documents\CreateAnimatedBlockTexture.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	13037
creator\Documents\CreateAnInWorldGame.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	9494
creator\Documents\CreateAWorldTemplate.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	15138
creator\Documents\CreateLootTable.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	9561
creator\Documents\CreateNPCs.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5672
creator\Documents\CreateTradeTable.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	11984
creator\Documents\CreatorCamp.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2083
creator\Documents\custom_projectiles.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	29110
creator\Documents\CustomBlockOversized.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	15220
creator\Documents\CustomBlockRenderDistance.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	1921
creator\Documents\CustomBlockRenderLighting.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	8956
creator\Documents\DataDrivenOverworldHeight.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7819
creator\Documents\DesigningGameplayForVariousDevices.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7152
creator\Documents\DifferencesBetweenBedrockAndJava.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5176
creator\Documents\EditingNBTSafely.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4583
creator\Documents\EntityBehaviorComponents.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5690
creator\Documents\EntityBehaviorIntroduction.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	13849
creator\Documents\EntityComponentsGuide.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	23164
creator\Documents\EntityEvents.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	16760
creator\Documents\EntityModelingAndAnimation.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	17055
creator\Documents\ExperimentalFeaturesToggle.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	6422
creator\Documents\FeaturesTaxonomy.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	9838
creator\Documents\FeaturesTutorial_1.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	8983
creator\Documents\FeaturesTutorial_2.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	17935
creator\Documents\FogInResourcePacks.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	13578
creator\Documents\Fogs\FogsIntroduction.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4223
creator\Documents\FunctionsIntroduction.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2668
creator\Documents\GameDevOverview.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	1274
creator\Documents\GameTestBuildYourFirstGameTest.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	12865
creator\Documents\GameTestGettingStarted.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4465
creator\Documents\GDKPCProjectFolder.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	2584
creator\Documents\GettingStarted.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	9437
creator\Documents\intro-block-traits.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	9875
creator\Documents\IntroductionToAddEntity.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	31409
creator\Documents\IntroductionToAnimationControllers.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7328
creator\Documents\IntroductionToEntityFamilies.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	8894
creator\Documents\IntroductionToEntityProperties.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	24304
creator\Documents\IntroductionToGamerules.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	8151
creator\Documents\IntroductionToLootTables.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5943
creator\Documents\IntroductionToSound.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4246
creator\Documents\IntroToEnchantments.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	14090
creator\Documents\LearningJourneyGuide.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	5834
creator\Documents\LootAndTradeTableFunctions.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	10038
creator\Documents\LootOverloads.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	10777
creator\Documents\LootTableConditions.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7495
creator\Documents\MakerSeriesMakingTheGoblinChef.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	4093
creator\Documents\managing-villages.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	6575
creator\Documents\material-files.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	16934
creator\Documents\MCToolsOverview.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	10834
creator\Documents\MinecraftBlockWizard.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	13271
creator\Documents\MinecraftEntityWizard.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	12543
creator\Documents\MinecraftFileExtensions.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	1592
creator\Documents\MinecraftItemWizard.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	11889
creator\Documents\MinecraftLive2022CreatorRecap.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	8379
creator\Documents\molang\introduction.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	6780
creator\Documents\molang\practical-molang.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	15321
creator\Documents\molang\syntax-guide.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	17356
creator\Documents\MoreInfoSources.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	7893
creator\Documents\multi-blocks.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	13042
creator\Documents\NPCDialogue.md	无需更新		现有中文文档已覆盖核心概念，当前文件暂无增量吸收价值	11475
